Name,Handle,Category,,IG,Tiktok,XHS,PR  Kit Seeding (10-19 Sep),RSVP for PR Kit,Invited for 6 Nov,RSVP for Event,Post Launch Hosting (TBC),Paid/ Seeding Collab,Rates,Curly's Target,Curly's  Value In-kind (grocer + dining),Curly's Rate Remarks,Curly's Remarks
Lorraine Koh,,,,,,,Yes,Accepted,,,Yes,Yes - Seeding w content brief - E&F to connect,,,,,
Grant Wee,,,,,,,Yes,Accepted,,,Yes,Yes - Seeding w content brief - E&F to connect,,,,,
Natassia Siu,,,,,,,Yes,Accepted,,,Yes,Yes - Seeding w content brief - E&F to connect,,,,,
Erica Loh,ericalohh,HNW DINKs ,,"9,989",,,Yes,Accepted,Yes,No response,Yes,Yes - Seeding w content brief - E&F to connect,,,,,
Dave Pynt,dpynto,Pro / home chefs,,31.9K,,,,,E&F to connect,,,Yes - Seeding w content brief - E&F to connect,,,,,
Esther Rachel,estherachel,HNW couples with young kids,,31.7K,35.5K,,,,E&F to connect,,Yes,,,,,,"With kids, does she cook. Co-host of @just.parenthings"
Jasmine Chong,jasminechong___,Premium lifestyle,Wellness,71.8K,,,Yes - backup,No response,,,Yes,,,,,,"with kids, wellness"
Dickson Tan,themeatmenchannel,Pro / home chefs,,153K,106.8K,,,,,,No,,,,,,
Elizabeth Homersham,theconsciouslizzy,Premium lifestyle,Wellness,"9,079",,,Yes - backup,Rejected - Post partum,,,No,,,,,,
Lace Zhang,aroundthediningtable,Pro / home chefs,,36K,"1,959",,,,,,No,,,,,,Is she Chinese in SG? Any XHS?
Jioh Min,jiohmin_some_life,KR / HNW couples with young kids,,13.6K,10.7K,,,,Yes,No response,Yes - for kids angle/KR angle produce,,,,,,
Audrey Lin,audreyishome,Pro / home chefs,,86K,44.4K,46.9K,,,,,No - potentially for kids angle/grocer,,"- 1x Instagram Reel with 2–3 IG Stories (IGS simple video/photo format): $4,500 (includes a TikTok repost as value add)
- 1x Instagram Reel with collab tag: $4,000  (includes a TikTok repost as value add)
- Package rate for content series (e.g., more than 2 Reels): $7,500 for 2 Reels  (includes TikTok repost as value add)",,,,"with kids

Not for paid content for now - find she's still not HNW enough, but seeding/invite to event please"
Lennard Yeong,lennardy,Pro / home chefs,,534K,981.6K,,Yes,No response,Yes,No response,,,,,,,Invite to event anw pls
Annil Ravin,annilravin,Pro / home chefs,,48K,51.1K,,,,,,No,,,,,,
Sarah Huang Benjamin,sarahhuangbenjamin,Pro / home chefs,,50.6K,"1,330",,Yes,Accepted,Yes,No response,,,,,,,
Lisa Yap,thelisafeed,Pro / home chefs / Kids,,70.1K,"3,473",,Yes,No response,Yes,No response,,,,,,,Founder of good maison a cooking utentils/ware brand. Potential for collab at Curly's?
Andrea Chong,dreachong,HNW couples with young kids,,309K,,,Yes,No - rejected. Busy,Yes,No response,,,,,,,
Naomi Yeo,nayo,HNW DINKs,Wellness,73.6K,,,Yes,No - rejected,Yes,No - busy,Yes,,,,,,
Shen Tan,chefshentan,Pro / home chefs,,20.3K,"4,033",,,,,,No,,,,,,Try to invite anyway out of courtesy? Great if we can incorporate Curly's to their PD menu
Kelly,kellycooks123,Pro / home chefs,,148K,66.3K,,,,,,No,,,,,,
Sam,saemmulsong,Pro / home chefs,,55.1K,31.4K,,Yes - backup,Accepted,Yes,No response,Yes - KR angle/produce,,,,,,Event
Aiken Chia,aikenchia,Premium lifestyle,Foodie,163K,49.2K,,Yes - backup,No response,Yes,No response,,,,,,,
Jolene,jolenekcw,HNW couples with young kids,,38.3K,,,Yes,Accepted,Yes,No response,Yes,,,,,,Also a home baker
Reuben Wong,reubenwenhao,Pro / home chefs,,14.5K,"1,502",,,,,,No,,,,,,Include comments like Chef at Artichoke
Evelyn Chen,bibikgourmand,Premium lifestyle,Foodie,41.6K,,,Yes,No response,Yes,No response,Yes,,,,,,
Dianna,Cool Mum Dianna,HNW couples with young kids,,149K,29.2K,198.2K,Yes,No response,Yes,No response,Yes,,,,,,Should be SG - went to RGS
Tjin Lee,tjinlee,Premium Lifestyle,HNW with Kids,112K,,,Yes,No response,Yes,No response,Yes,,,,,,Would like her + gang to be under hosting paid content if possible
Fiona Fussi,fionafussi,Premium lifestyle,Wellness,228K,49.6K,48.7K,Yes,Accepted,Yes,No - to invite for post launch tasting,Yes,,,,,,Foodie + into wellness/sustainability 
Monica Lie,luxmondi,HNW DINKs,,19.4K,"1,418",,Yes,No - rejected. Moving House,Yes,No,Yes,,,,,,"DINK, hosting, dining smoothie, home owner"
Melissa C Koh,melissackoh,HNW couples with young kids,,282K,49.6K,,Yes,No response,Yes,No response,Yes,,,,,,with kids / dining smoothie HNW
Mag Chan,magxchan,HNW DINKs,,"7,705",,,Yes,Accepted,Yes,Yes,Yes,,,,,,
Leanne Robers,leannerobers,HNW DINKs,,"9,142",,,Yes,Accepted,Yes,No response,Yes,,,,,,"Co-founder of she loves tech, HNW entrepreneur"
Ming Bridges,mingbridges,HNW couples with young kids,,142K,,,Yes,Rejected (confinement),Yes,No - confinement,,,,,,,
Eugenia,mrsytooge,HNW couples with young kids,,"4,174",,,,,,,Yes,,,,,,"with kids, entrepreneur"
Derek Cheong,the.rek,Pro / home chefs,,10.1K,"4,076",,Yes,Accepted,Yes,No response,Yes,,,,,,
Daren Teo,thepantryboy,Pro / home chefs,,294K,248.8K,,Yes,Accepted,Yes,No - to invite for post launch tasting,Yes,,,,,,
罗大雄,罗大雄,Premium lifestyle,Wellness,,,392.8K,,,,,No - not for now,,,,,,
Malaque Mahdaly,malaquemahdaly,HNW couples with young kids,,181K,"2,753",,,,,,No - not for now,,,,,,
Fay Clough,faycloughy,HNW couples with young kids,,22.6K,,,Yes - backup,Accepted,Yes,No - to invite for post launch tasting,Yes,,,,,,"with kids, for dining"
Crystal Lim-Lange,crystallimlange,HNW DINKs,,108K,129.8K,,Yes,No response,Yes,No response,Yes,,,,,,
Rachel Wong,rchlwngxx,Premium lifestyle,Fashion/ Food,198K,"5,918",,Yes,No (travelling),Yes,No response,Yes,,,,,,Smoothies/ dining
Savina Chow,savinachow,Premium lifestyle,Fashion,120K,33.3K,,Yes,Accepted,Yes,No - to invite for post launch tasting,Yes,,,,,,Smoothies/ dining
Salina Chai,salinachai,Premium lifestyle,Fashion,172K,46.1K,,Yes,No response,Yes,No response,Yes,,,,,,Smoothies/ dining
Monica Millington,monicamillington,HNW couples with young kids,,65.5K,95.9K,,Yes,Accepted,Yes,No response,Yes,,,,,,with kids / dining smoothie HNW
Cristina Leontyeva,cristinaleontyeva,HNW couples with young kids,Fashion,119K,890.1K,,Yes - backup,Accepted,Yes,No response,Yes,,,,,,with kids / dining smoothie HNW
Rebecca Eu,becseu,HNW DINKs,,21.6K,"5,653",,Yes,Accepted,Yes,No,Yes,,,,,,"DINK, hosting, dining smoothie HNW, home owner"
Rachel K Alexa,rachelkalexa,HNW DINKs,,"7,412",,,Yes,Accepted,Yes,Yes,Yes,,,,,,"DINK, hosting, dining smoothie HNW"
Chloe ,chloeabeth,Premium lifestyle,Fashion/ Food,124K,1.2M,,Yes - backup,No response,Yes,No response,Yes,,,,,,"HNW Gen Z, smoothies, dog"
Medina,Medimonsta,HNW couples with young kids,,63.8K,22.4K,,Yes,No - out of town. Invite for event,Yes,Yes,Yes,,,,,,with kids / dining smoothie HNW / wellness
Natasha Chiam,natashachiam,HNW couples with young kids,Food Entrepreneur,"7,269","1,127",,Yes,Accepted,Yes,No - to invite for post launch tasting,Yes,,,,,,Founder of icecream cookie co
Linda Tang,linda_tang,HNW couples with young kids,Wellness (Co-founder WeBarre),"5,402",,,Yes - backup,Accepted,Yes,Yes,Yes,,,,,,
Christine,foodirectory.sg,Premium lifestyle,Foodie,101K,,,Yes - backup,Accepted,Yes,No - to invite for post launch tasting,Yes,,,,,,
Yong Wei Kai,Yong Wei Kai,Premium lifestyle,Foodie,69.5K,"6,887",,Yes - backup,No - out of town. Invite for event,Yes,No - to invite for post launch tasting,,,,,,,
Marion Muller,swizzyinsg,Premium lifestyle,Foodie ,73K,28.8K,,Yes - backup,Accepted,Yes,Yes,Yes - for reach (dining),,,,,,
Nim,niminthewild,Premium lifestyle,Foodie,14.7K,"9,141",,Yes - backup,Accepted,Yes,No - to invite for post launch tasting,Yes - for reach (dining),,,,,,
Edo Lido,mozzarellapapi,Premium lifestyle,Foodie,66.7K,101.8K,,Yes - backup,No - travelling,Yes,No - to invite for post launch tasting,Yes - for reach (dining),,,,,,
Eshton Chua,eshton,Premium lifestyle,Foodie,68.1K,48.7K,,,,Yes,No - to invite for post launch tasting,Yes,,,,,,
Caecilia Leong,singaporeliciouz,Premium lifestyle,Foodie,39.1K,,,Yes - backup,No response,Yes,No response,Yes - for reach (dining),,,,,,
Mellissa Koh,melicacy,Premium lifestyle,Foodie,44.4K,,,Yes - backup,Accepted,Yes,No - to invite for post launch tasting,Yes - for reach (dining),,,,,,
Veronica Phua,veronicaphua,Premium lifestyle,Foodie,57.5K,,,Yes,No,Yes,No response,Yes,,,,,,
Emily Toh,emily.eatingthyme,Premium lifestyle,Foodie,28K,,,Yes - backup,Accepted,Yes,No - to invite for post launch tasting,Yes,,,,,,
Kelvin & Desmond,therantingpanda,Premium lifestyle,Foodie,57.1K,,,,,Yes,No,Yes,,,,,,
Eileen,crappysotong,Premium lifestyle,Foodie,18.3K,,,,,Yes,No - to invite for post launch tasting,,,,,,,
Natasha & Erwin,onericeplease,Premium lifestyle,Foodie,61K,44.4K,,Yes,Accepted,Yes,No,Yes - for reach (dining),,,,,,
Cassie Lee,thecassiefeed,Premium lifestyle,Foodie,25.8K,"6,892",,Yes - backup,Accepted,Yes,Yes,Yes - for reach (dining),,,,,,
Leon Chua,uncle_lim_chiak,Premium lifestyle,Foodie,21.9K,,,,,Yes,Yes,Yes - for reach (dining),,,,,,
Esther Quek,estherquek,Premium lifestyle,Wellness,34.8K,,,Yes,Accepted,Yes,Yes,,,,,,,Nutrionist / sells own chilli brand
Joslyn Lim,lovekindeat,Pro / home chefs,Vegetarian,11.3K,,,,,,,No,,,,,,
Saeron Lee,saeronie_e,Pro / home chefs,Premium Lifestyle: Beauty/ Fashion,140K,466.3K,,Yes - backup,Accepted,Yes,Yes,Yes,,,,,,Invite to dine/general lifestyle only
Tiffany & Bryan,jingwensathome,Pro / home chefs,,17.3K,,,,,,,No,,,,,,
Jacintha Wee,jacinthawee,Premium lifestyle,,73.5K,"2,059",,,,,,No,,,,,,
Paul Foster,paulfosterrr,Premium lifestyle,Wellness/ with young kids ,51.3K,,,Yes - backup,Accepted,Yes,No - to invite for post launch tasting,Yes,,,,,,
王开花,王开花,Premium lifestyle,Hosting,,,283.7K,,,,,No - for now,,,,,,XHS followers should only be 10k?
Zita,littleexpats_sg,HNW couples with young kids,,8.376,,,Yes - back up,Accepted,Yes,No - to invite for post launch tasting,Yes,,,,,,
lololotus_c,lololotus_c,HNW couples with young kids,,36.1K,"1,030","9,850",,,,,Yes,,,,,,
Char,dear.mamachar,HNW couples with young kids,Pro / home chefs,"4,053",614,,Yes,Accepted,Yes,Yes,Yes,,,,,,With kids
Nellie Lim,nellielim,Premium LIfestyle,Fashion/ HNW couples with young kids,69.1K,16.6K,,Yes,Accepted,Yes,No response,Yes,,,,,,For Curly's dining
Yumika Ho,yumikahoskin,Premium lifestyle,Wellness,44.1K,"1,372",,Yes,No response,Yes,No response,Yes,,,,,,Friends w Brie/Ming - could do hosting
Sophia Chong,sophiachong,Premium lifestyle,Fashion,110K,,,Yes,Accepted,Yes,No - to invite for post launch tasting,Yes,,,,,,For Curly's dining
Paige Parker,paigeparker,Premium lifestyle,Wellness,18.3K,50.2K,,Yes,Accepted,Yes,No - to invite for post launch tasting,Yes,,,,,,
Louisa Leow,xlouisaleow,HNW couples with young kids,Premium Lifestyle/ Beauty,"1,799",,,Yes - backup,Accepted,Yes,No - to invite for post launch tasting,Yes,,,,,,Daughter of BMF aesthetics - Smoothies/ dining
Stephanie Carroll,stephcarroll.k,Premium lifestyle with young kids,Wellness,"3,021",,,Yes - backup,Accepted,Yes,No - to invite for post launch tasting,Yes,,,,,,"with kids / dining grocer, co-owner of Vaura pilates"
Charmaine Seah-Ong,eleventhour,HNW couples with young kids,,25.3K,,,Yes,Accepted,Yes,No response,Yes,,,,,,with kids / dining grocer
Thara,Thara Koii,Premium lifestyle,Foodie,95.5K,,,,,Yes,No - to invite for post launch tasting,Yes,,,,,,SG / TH - dining smoothie HNW
Marissa & Denise Lum,,,,,,,,,,,E&F to connect,,,,,,
Beatrice Ding Koh,beatricedingkoh,Premium lifestyle,Wellness,"8,848",,,Yes - backup,Accepted,Yes,Yes,Yes,,,,,,Her Velvet Vase founder
Cloe,jujujucloe,Premium lifestyle,Fashion/ Food,113K,107.3K,,,,,,Yes,,,,,,dining smoothie
Sabrina Marican,sabrinamarican,Premium lifestyle,Fashion,16.4K,"1,728",,,,,,Yes,,,,,,"musician, dining smoothie"
Rachel,Beda Skin,Premium lifestyle,Beauty,14.3K,,,,,,,Yes,,,,,,"Beda Skin founder, HNW"
Beatrice Tan,beatricesays,HNW couples with young kids,Premium LIfestyle/ Fashion,78.9K,,,Yes - backup,No response,Yes,No response,Yes,,,,,,"Klarra founder, for dining"
Lucinda Zhou,lucindazhou,HNW couples with young kids,Premium LIfestyle/ Fashion,48.8K,285,,,,,,Yes,,,,,,"Co-founder of Oh Vola, HNW with kids"
Jolene Zhou,jolenezhou,HNW DINKs,Premium LIfestyle/ Fashion,44.1K,"1,426",,,,,,Yes,,,,,,"Co-founder of Oh Vola, HNW with kids"
Arissa Cheo,arissa.cheo,Premium lifestyle,Fashion,95K,,,,,,,Yes,,,,,,"DINK, hosting, dining smoothie HNW, founder of Romi beauty"
Deenise,deeniseglitz,Premium lifestyle,Food,137K,131.3K,,Yes - backup,Accepted,Yes,No - to invite for post launch tasting,Yes,,,,,,
Jaclyn Chan,jacylnchan,,,,,,Yes,No response,Yes,No response,Yes,,,,,,"ex nike, lululemon, technogym market lead, founder of wellness company"
Jaime Lee,https://www.instagram.com/jaim/?hl=en,Premium lifestyle,Wellness,,,,Yes,No response,Yes,No response,Yes,,,,,,
Athalie,motherofchessons,HNW couples/Expat with young kids - Ex-baker in Aus,,67.4k,,,Yes,Accepted,Yes,No response,Yes,Yes - ideally seeding,,,,,"Expat with kids, had a home bakery in perth, cooks, friends w Nellie lim etc"
Lydia Elder,lydias_layton_life,Mom of 3,,94.8K,,,,,Yes,No response,Yes,,,,,,
Choy Wan,baby_choy,May & Choy ,,10.7K,,,,,,,Yes,,,,,,
Lexie,lexierodriguez,"VP Lifestyle, Patina and Capella",,20.5K,,,Yes - backup,No response,,,Yes,,,,,,
Maya Davidov,mayabdavidov,,,12.2K,,,Yes,Accepted,Yes,No - to invite for post launch,Yes,,,,,,
Nina Monzolevska,ninamonzolevska,Wellness/ Fitness/ Mom of 2,,88.1K,222.4K,,,,,,Yes,,,,,,Smoothie & Dining
Zita,littleexpats_sg,Expat mom of 2,,"9,595",,,Yes - backup,Accepted,,,,,,,,,
Amandine Honvault,new_to_singapore,French in SG,,54.5K,70.3K,,,,,,No,,,,,,Smoothie
Calista Battista,calistabattista,,,,"2,865",,,,,,Yes,,,,,,Smoothie & Dining
Indie,miloandindie,"Expat in SG, Canadian","Fitness, Lifestyle","2,184","3,772",,,,Yes,No - to invite fror post launch,No,,,,,,Smoothie
Ariana June,arianajune_,Lawyer turned SAHM,,"2,330","4,327",,,,,,Yes,,,,,,
Kritika Jain,theroamingtoes,Indian couple ,,22.9K,,,,,,,No,,,,,,
Alicia Pan,alicia_pan,Yoga Movement,,11k,,,Yes,No response,,,Yes,,,,,,
Jimena Muchsel,jimenamuchsel,"Not an expat, but she's into fitness / wellness",,259K,135.9K,,Yes,Rejected,,,Yes,,,,,,Smoothie & Dining
Jacob Pratt,realjacobpratt,Fitness,,,"1,214",,,,,,No,,,,,,
Mile in SG,mile.in.sg,,,,"3,307",,,,,,Yes,,,,,,
Chiaciek,chiaciek,founder of lunchware brand kupaa,,,14.7K,,,,,,No,,,,,,
Elena ,elenaborsch,Mom of 2,,33.8K,"3,336",,,,,,No,,,,,,
Kay,kaysnote,Korean/ Wellness,,24K,"5,433",,Yes - backup,Accepted,,,Yes - KR produce/angle,,,,,,
Twee's Recipes,tweesrecipes,home cook,,,65.5K,,,,,,No,,,,,,
Jiwon,jeejeats,Korean / Foodie,,"9,168","2,063",,Yes - backup,No response,,,Yes - KR produce/angle,,,,,,
Lee Jungmin,jungmin.lee,Korean / Founder of KSisters,,11.6K,,,,,,,Yes - KR produce/angle,,,,,,
Julie Yoo,julz1201,Korean / News anchor / Fitness,,32K,,,,,,,Yes - KR produce/angle,,,,,,
June Park,juneparkpilates,Korean / Fitness,,14.3K,,,,,,,Yes - KR produce/angle,,,,,,
Winnie Chan,thepaperqueen,Bynd Artisan Founder / HNW,,,,,Yes,Accepted,Yes,Yes,Yes,,,,,,
Lelian Chew,lelianchew,The Floral Atelier Founder / HNW,,,,,Yes,No response,,,Yes,,,,,,
Minju Jo,minjujo,Korean / HNW ,Lifestyle / Dining,,,,,,,,Yes - KR produce/angle,,,,,,Friends w Kaysnote
Josh Niland,,Fysh SG Edition,Chef,,,,,,,,,E&F to connect,,,,,
Kevin Wong,,Seroja,Chef,,,,,,,,,E&F to connect,,,,,
Sunny Han,sunnyskitchen,HNW / Kids / Creative director,Home cooking ,,,,,,,,Yes,E&F to connect,,,,,
Novita Lam,novitalam,HNW / Wellness / Food ,,412k,,,,,,,Yes ,Yes - ideally seeding,,,,,Smoothie & Dining
Jamie Chua,ec24m,HNW,Lifestyle / Fashion / Dining,1.5M,,,,,,,Yes ,,,,,,
Nina Ng,maleficent75,HNW / Wellness / Food ,,14.5k,,,,,,,Yes ,,,,,,
Nicholas,nicholaslgl,Premium Lifestyle,Food,208K,,,,,Yes,No response,,,,,,,
Elaine,e_for_eat,Premium Lifestyle,Food,46.4K,,,,,Yes,No response,,,,,,,
Hilary,sgnomster,,,38.4K,,,Yes - backup,Accepted,Yes,No - to invite for post launch,Yes,,,,,,
Malin Nordblom,fabfoodieswede,Expat in SG/ Sweden,Food,20.8K,,,Yes - backup,Accepted,Yes,Yes,Yes,,,,,,
Annette Tan,fat_fuku,Food writer,,13.5K,,,Yes - backup,Rejected - Travelling,Yes,No response,,,,,,,
Chiara,Chiaraang,,Foodie,22.2K,,,Yes - backup,Accepted,Yes,Yes,Yes,,,,,,
Georgina F,seaofknit,,,15.8k,,,Yes - backup,Accepted,Yes,No - to invite for post launch,Yes,,,,,,
Shannon Taylor,shannontaylortw,,,44.2K,,,,,Yes,No - to invite for post launch,Yes,,,,,,
Karl,whereiskarl,,,19.2K,,,,,Yes,No - to invite for post launch,Yes,,,,,,
Callista Shannon,callista.shannonn,,,15.4K,,,,,Yes,No - to invite for post launch,Yes,,,,,,
Corinne,sweetchowomine,Attended as dearmama.char's +1 for launch event,,407,13.8K,,,,,,Yes,,,,,,
Cheris Ang,cherisang,Attended as Linda Tang's +1 for launch event,,21.5K,,,,,,,Yes,,,,,,
Mandi Cheung,manithezebra,,,14.2K,,,,,,,Yes,,,,,,
,,,,,,,,,,,,,,,,,
CHEFS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Name,Establishment,Chen's outreach,Marketing's Outreach,Chun's Outreach,,,,,,,,,,,,,
Julien Royer,Odette,,,,,,,,,,,,,,,,
Julien Mercier,Claudine,,,,,,,,,,,,,,,,
Sebastian Feldbacher,Le Pristine,NA in Austria in Sep,,,,,,,,,,,,,,,
Tze Qin,Jiak Kim House,,,,,,,,,,,,,,,,
Gunther & Aza,Gunther's Restaurant,,,,,,,,,,,,,,,,
Kirk Westaway & Guo Lun,JAAN By Kirk Westaway,,,,,,,,,,,,,,,,
Dave Pynt & Yvette,Burnt Ends,,,Y,,,,,,,,,,,,,
patrick_leano,Burnt Ends,,,Y,,,,,,,,,,,,,
Daniel Chavez,CANCHITA & TINTO,,,,,,,,,,,,,,,,
Daniele Sperindio,METT Singapore,,,,,,,,,,,,,,,,
Kael Lim Kuan Loong,JW Marriott Singapore South Beach,,,,,,,,,,,,,,,,
Diego Bocchimuzzi,EDITION Singapore,,,,,,,,,,,,,,,,
Manpreet & Din,Publico - InterContinental Robertson Quay,,,,,,,,,,,,,,,,
Ace Tan,Asu & Shan - Labrador House,,,,,,,,,,,,,,,,
Bryce Li & Peter Chin,M Social,,,,,,,,,,,,,,,,
Sun Kim & Park,META,,,,,,,,,,,,,,,,
Eugene Chan,Mama Shelter,Y,,,,,,,,,,,,,,,
Ahn Jae Woo,ONMI,,,,,,,,,,,,,,,,
Louis Han,GU:UM & NAE:UM,,,,,,,,,,,,,,,,
Chef Emmanuel Stroobant,Saint Pierre,,,,,,,,,,,,,,,,
Josh Niland,Fysh SG Edition,,Y,,,,,,,,,,,,,,
Kevin Wong,Seroja,,Y,,,,,,,,,,,,,,
Aun Koh,National Gallery,,,Y,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NOT APPROVED,,,,,,,,,,,,,,,,,
KOL,Mark Ong,makoeats,,,,,,,,,,,,,,,
KOL,Shawn Loh,larvitar,,,,,,,,,,,,,,,
KOL,Shaun,shauneeie,,,,,,,,,,,,,,,
KOL,Alain Li,alainlicious,,,,,,,,,,,,,,,
KOL,Rontree Chan,rontreechan,,,,,,,,,,,,,,,
KOL,Hazel,hazeldiary,,,,,,,,,,,,,,,
KOL,Oktaviani,n3fn3f,,,,,,,,,,,,,,,
KOL,J.Oswel,j.oswel,,,,,,,,,,,,,,,
KOL,Joshua Hee,joshuaheejd,,,,,,,,,,,,,,,
